Product,Image,URL,Energiaväärtus (kJ),Energiaväärtus (kcal),Rasvad (g),millest küllastunud rasvhapped (g),Süsivesikud (g),millest suhkrud (g),Kiudained (g),Valgud (g),Sool (g),Category
"Krõbedad kanapalad, 3 tk",https://mcdonalds.ee/wp-content/uploads/2024/04/web_ChickenStrips-3.png,https://mcdonalds.ee/tooted/krobedad-kanapalad-3-tk/,1649,394,21,2.8,28,0.3,1.1,23,1.8,Suupisted
Vürtsikad Chicken McNuggets™ 20 tk,https://mcdonalds.ee/wp-content/uploads/2023/07/Web_Spicy20McNuggets_salv-2.png,https://mcdonalds.ee/tooted/vurtsikad-chicken-mcnuggets-20-tk/,3900,932,50,4.7,66,2.6,2.3,55,3.9,Suupisted
Vürtsikad Chicken McNuggets™ 9 tk,https://mcdonalds.ee/wp-content/uploads/2023/07/Web_Spicy9McNuggets_salv-3.png,https://mcdonalds.ee/tooted/vurtsikad-chicken-mcnuggets-9-tk/,1755,420,22,2.1,30,1.2,1.0,25,1.8,Suupisted
Vürtsikad Chicken McNuggets™ 6 tk,https://mcdonalds.ee/wp-content/uploads/2023/07/Web_Spicy6McNuggets_salv.png,https://mcdonalds.ee/tooted/vurtsikad-chicken-mcnuggets-6-tk/,1170,280,15,1.4,20,0.8,0.7,16,1.2,Suupisted
"Friikartulid, väiksed",https://mcdonalds.ee/wp-content/uploads/2019/02/McD_web2021_Fries-small.png,https://mcdonalds.ee/tooted/friikartulid-vaiksed/,968,231,11,1.0,29,0.3,2.8,2.8,0.55,Bestsellerid
McToast™ topelt juustuga,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Beakfast-Toast2xcheese.png,https://mcdonalds.ee/tooted/mctoast-topelt-juustuga/,1041,248,10.0,5.6,28,5.6,2.0,10,1.5,Catch Products
Chicken McNuggets™ 4 tk,https://mcdonalds.ee/wp-content/uploads/2020/07/McD_web2021_ChickenNuggets-4.png,https://mcdonalds.ee/tooted/chicken-mcnuggets-4-tk/,740,176,8.6,1.0,13,0.5,0.7,11,0.82,Bestsellerid
McToast™ peekoni ja juustuga,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Beakfast-Toast-BaconCheese.png,https://mcdonalds.ee/tooted/mctoast-peekoni-ja-juustuga/,1172,280,13,6.8,28,5.6,2.0,12,1.7,Catch Products
"Friikartulid, keskmised",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Fries-medium-1.png,https://mcdonalds.ee/tooted/friikartulid-keskmised/,1379,330,16,1.5,41,0.4,4,3.9,0.79,Suupisted
"Friikartulid, suured",https://mcdonalds.ee/wp-content/uploads/2021/07/McD_web2021_Fries-large-1.png,https://mcdonalds.ee/tooted/friikartulid-suured/,1815,434,21,2.0,54,0.5,5.3,5.2,1.0,Suupisted
"BBQ kartulid, keskmised",https://mcdonalds.ee/wp-content/uploads/2020/10/web_BBQ-fries-medium.png,https://mcdonalds.ee/tooted/bbq-kartulid-keskmised/,1339,319,12,1.1,45,1.6,4.7,4.7,2.3,Suupisted
"BBQ kartulid, suured",https://mcdonalds.ee/wp-content/uploads/2021/07/web_BBQ-fries-large.png,https://mcdonalds.ee/tooted/bbq-kartulid-suured/,1728,412,16,1.4,58,2.0,6.0,6.0,3.0,Suupisted
Chicken McNuggets™ 6 tk,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_ChickenNuggets-6.png,https://mcdonalds.ee/tooted/chicken-mcnuggets-6-tk/,1120,268,14.0,1.7,19,0.4,1.40,17.00,1.30,Suupisted
Chicken McNuggets™ 20 tk,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_ChickenNuggets-20.png,https://mcdonalds.ee/tooted/chicken-mcnuggets-20-tk/,3698,882,43,5.2,67,2.4,3.3,55,4.1,Suupisted
Chicken McNuggets™ 9 tk,https://mcdonalds.ee/wp-content/uploads/2021/07/McD_web2021_ChickenNuggets-9.png,https://mcdonalds.ee/tooted/chicken-mcnuggets-9-tk/,1664,397,19,2.4,30,1.1,1.5,25,1.8,Suupisted
Mini McFlurry™ Nutella®,https://mcdonalds.ee/wp-content/uploads/2025/05/McD_web_Mini-FlurryNutella.png,https://mcdonalds.ee/tooted/mini-mcflurry-nutella/,845,201,7.0,3.5,30,26,0.5,4.1,0.16,Magustoidud
Mini McFlurry™ Oreo®,https://mcdonalds.ee/wp-content/uploads/2025/05/McD_web_Mini-FlurryOreo.png,https://mcdonalds.ee/tooted/mini-mcflurry-oreo/,727,173,5.3,2.7,27,22,0.4,3.6,0.21,Magustoidud
Mini McFlurry™ pistaatsiaga,https://mcdonalds.ee/wp-content/uploads/2025/05/McD_web_Mini-FlurryPistachio.png,https://mcdonalds.ee/tooted/mini-mcflurry-pistaatsiaga/,855,204,7.5,2.7,30,21.98,0.6,4.2,0.16,Magustoidud
McFlurry™ Nutella®,https://mcdonalds.ee/wp-content/uploads/2025/05/McD_web_FlurryNutella.png,https://mcdonalds.ee/tooted/mcflurry-nutella/,1311,312,9.9,5.2,49,41,0.7,6.5,0.27,Magustoidud
McFlurry™ pistaatsiaga,https://mcdonalds.ee/wp-content/uploads/2025/05/McD_web_FlurryPistachio.png,https://mcdonalds.ee/tooted/mcflurry-pistaatsiaga/,1561,372,14.0,4.7,53,38,1.2,7.5,0.29,Magustoidud
"Kohvikokteil, 400 ml",https://mcdonalds.ee/wp-content/uploads/2025/05/McD_web_Vanilla-EspressoShake.png,https://mcdonalds.ee/tooted/kohvikokteil-400-ml/,1328,314,5.9,3.9,57,52,0.0,8.2,0.29,Magustoidud
Virsiku-jogurtipirukas,https://mcdonalds.ee/wp-content/uploads/2025/04/web_PIE-PeachCreamcheese.png,https://mcdonalds.ee/tooted/virsiku-jogurtipirukas/,986,236,12,3.4,29,10,1.3,3.0,0.31,Magustoidud
Vahvlijäätis,https://mcdonalds.ee/wp-content/uploads/2024/05/McD_web_IceCone.png,https://mcdonalds.ee/tooted/vahvlijaatis/,686.2,162.6,3.7,2.5,28.2,21.2,0.3,3.9,0.1,Magustoidud
Ananassipulk,https://mcdonalds.ee/wp-content/uploads/2023/05/web_Pineaple.png,https://mcdonalds.ee/tooted/ananassipulk/,160,38,0.2,0.1,7.9,6.5,1.4,0.3,0.01,Magustoidud
Karamelli McSundae™,https://mcdonalds.ee/wp-content/uploads/2021/03/McD_web2021_McSundae-caramell-stikls.png,https://mcdonalds.ee/tooted/karamelli-mcsundae/,1207,286,6.1,4.1,53,38,0.00,4.70,0.28,Bestsellerid
Šokolaadi McSundae™,https://mcdonalds.ee/wp-content/uploads/2021/03/McD_web2021_McSundae-Chocolate-stikls.png,https://mcdonalds.ee/tooted/sokolaadi-mcsundae/,1171,278,8.2,6.4,45,42,1.3,5.5,0.4,Bestsellerid
Maasika McSundae™,https://mcdonalds.ee/wp-content/uploads/2021/03/McD_web2021_McSundae-Strawberry-stikls.png,https://mcdonalds.ee/tooted/maasika-mcsundae/,959,227,4.1,2.8,43,37,0.6,4.1,0.16,Bestsellerid
Õunapirukas,https://mcdonalds.ee/wp-content/uploads/2021/07/McD_web2021_Pie-Apple.png,https://mcdonalds.ee/tooted/ounapirukas/,955,228,12.0,2.8,28,9,1.5,2.3,0.3,Bestsellerid
"Šokolaadi jäätisekokteil, 250 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Milkshake-Chocolate250.png,https://mcdonalds.ee/tooted/sokolaadi-jaatisekokteil-250-ml/,859,203,4.0,,26,30,0.7,5.5,0.4,Bestsellerid
"Maasika jäätisekokteil, 250 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Milkshake-Strawberry250-1.png,https://mcdonalds.ee/tooted/maasika-jaatisekokteil-250-ml/,834,197,3.7,2.5,36,33,,5.1,0.19,Bestsellerid
McFlurry™ Oreo®,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Flurry-Oreo_stils.png,https://mcdonalds.ee/tooted/mcflurry-oreo/,1268,301,9.7,5.8,48,37,0.6,5.7,0.22,Magustoidud
"Šokolaadi jäätisekokteil, 400 ml",https://mcdonalds.ee/wp-content/uploads/2021/07/McD_web2021_Milkshake-Chocolate400.png,https://mcdonalds.ee/tooted/sokolaadi-jaatisekokteil-400-ml/,1375,326,6.4,4.3,57,48,1.1,8.9,0.62,Magustoidud
"Vanilli jäätisekokteil, 250 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Milkshake-Vanilla250-1.png,https://mcdonalds.ee/tooted/vanilli-jaatisekokteil-250-ml/,828,196,3.7,2.5,36,33,,5.1,0.18,Bestsellerid
"Vanilli jäätisekokteil, 400 ml",https://mcdonalds.ee/wp-content/uploads/2021/07/McD_web2021_Milkshake-Vanilla400.png,https://mcdonalds.ee/tooted/vanilli-jaatisekokteil-400-ml/,1325,313,5.9,3.9,57,52,,8.1,0.29,Magustoidud
"Maasika jäätisekokteil, 400 ml",https://mcdonalds.ee/wp-content/uploads/2021/07/McD_web2021_Milkshake-Strawberry400.png,https://mcdonalds.ee/tooted/maasika-jaatisekokteil-400-ml/,1335,316,5.9,3.9,58,54,,8.1,0.30,Magustoidud
Mee-sinepikaste,https://mcdonalds.ee/wp-content/uploads/2024/03/web_Sauce-HoneyMustard.png,https://mcdonalds.ee/tooted/mee-sinepikaste/,183,44,1.4,0.2,7.4,5.6,0.2,0.3,0.31,Kastmed
Kokteilikaste,https://mcdonalds.ee/wp-content/uploads/2024/11/McD_web2021_Sauce_Cocktail.png,https://mcdonalds.ee/tooted/kokteilikaste/,555,135,14.0,1.1,1.7,1.4,0.1,0.4,0.47,Kastmed
Netheri kaste,https://mcdonalds.ee/wp-content/uploads/2025/04/web_NetherSauce1.png,https://mcdonalds.ee/tooted/netheri-kaste/,126,30,0.4,0.0,6.3,5.5,0.3,0.2,0.56,Kastmed
